,carat,cut,color,clarity,depth,table,length,width,height,price
1755,0.81,Ideal,I,SI1,61.3,56.0,6.27,6.23,3.83,3043
10295,0.91,Very Good,E,VS2,62.2,60.0,6.13,6.21,3.84,4759
35763,0.4,Premium,E,VS2,62.5,58.0,4.65,4.73,2.93,912
7006,1.06,Premium,I,SI1,62.9,60.0,6.47,6.43,4.06,4155
36753,0.33,Ideal,F,VVS1,61.8,57.0,4.43,4.47,2.75,955
15530,1.0,Good,F,VS2,63.1,57.0,6.32,6.36,4.0,6223
12935,1.13,Ideal,H,SI1,62.3,56.0,6.66,6.69,4.16,5384
11326,1.18,Premium,G,SI2,60.5,60.0,6.88,6.81,4.14,4988
43165,0.42,Ideal,D,VVS2,62.1,55.0,4.81,4.78,2.98,1389
44350,0.56,Ideal,G,VS2,61.9,55.0,5.28,5.32,3.28,1580
117,0.71,Ideal,G,VS2,62.4,54.0,5.72,5.76,3.58,2762
49226,0.51,Ideal,F,VVS2,62.2,57.0,5.12,5.14,3.19,2082
24647,2.0,Premium,E,SI2,60.3,58.0,8.15,8.08,4.89,12987
31924,0.3,Ideal,G,VS1,62.8,57.0,4.26,4.24,2.67,776
42061,0.51,Very Good,F,SI1,63.7,55.0,5.06,5.11,3.24,1271
40239,0.39,Ideal,F,VVS1,61.7,55.0,4.69,4.71,2.9,1124
19029,0.27,Very Good,E,VVS2,63.8,54.0,4.06,4.09,2.6,621
39032,0.41,Ideal,H,SI1,62.2,55.0,4.76,4.79,2.97,1056
30774,0.35,Ideal,G,VS1,61.3,54.0,4.58,4.63,2.83,741
18729,1.7,Premium,J,SI2,63.0,60.0,7.59,7.53,4.76,7650
12713,0.26,Ideal,E,VVS2,62.3,57.0,4.06,4.09,2.54,599
1495,0.7,Ideal,D,VS2,60.3,60.0,5.71,5.76,3.46,2991
22691,0.29,Very Good,E,VVS1,60.9,61.0,4.23,4.27,2.59,629
38197,0.41,Premium,D,SI1,60.5,60.0,4.81,4.77,2.9,1015
53588,0.7,Ideal,G,SI1,62.0,56.0,5.66,5.69,3.52,2699
11589,1.21,Fair,H,VS2,64.5,56.0,6.7,6.66,4.31,5041
15020,1.0,Ideal,E,VS2,61.9,56.0,6.45,6.4,3.98,6048
39888,0.42,Premium,F,VS1,61.2,58.0,4.86,4.82,2.96,1103
43746,0.51,Premium,G,VS2,61.2,60.0,5.12,5.17,3.15,1438
30453,0.3,Good,F,VS1,63.7,56.0,4.28,4.26,2.72,731
37312,0.31,Ideal,E,VVS2,60.9,56.0,4.39,4.41,2.68,979
41248,0.56,Premium,G,SI2,60.0,60.0,5.48,5.42,3.11,1208
409,0.34,Ideal,H,VS2,60.4,57.0,4.54,4.57,2.75,555
9842,1.02,Ideal,E,SI1,61.1,56.0,6.51,6.45,3.96,4675
20061,0.31,Very Good,G,VS1,63.0,57.0,4.28,4.32,2.71,625
50622,0.26,Very Good,F,SI1,61.4,56.0,4.13,4.16,2.54,401
32023,0.31,Ideal,H,VVS2,61.3,56.0,4.37,4.4,2.69,778
28246,0.33,Ideal,G,VS1,61.9,55.0,4.41,4.44,2.74,666
35140,0.39,Premium,E,VS2,62.5,60.0,4.64,4.67,2.91,889
50281,0.3,Very Good,H,VS1,61.9,55.0,4.32,4.37,2.69,541
37553,0.32,Ideal,D,VVS1,62.1,54.0,4.43,4.4,2.74,988
23206,1.28,Very Good,G,VVS1,60.3,59.0,6.99,7.03,4.23,11214
53423,0.71,Very Good,G,VS2,61.9,62.0,5.69,5.72,3.53,2671
18070,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,7297
7780,0.9,Ideal,F,SI1,61.5,56.0,6.25,6.2,3.83,4284
15978,1.7,Ideal,H,I1,61.3,55.0,7.7,7.63,4.7,6397
49903,0.61,Very Good,E,SI1,63.9,54.0,5.38,5.42,3.45,2179
4614,0.7,Ideal,F,VS1,61.2,56.0,5.73,5.76,3.52,3662
37740,0.41,Ideal,E,VS1,60.5,58.0,4.81,4.85,2.92,997
41469,0.41,Ideal,D,VS1,61.8,57.0,4.8,4.75,2.95,1230
12963,1.0,Very Good,D,SI1,61.3,54.0,6.37,6.39,3.91,5390
41356,0.38,Ideal,F,IF,62.2,54.0,4.65,4.68,2.9,1218
22534,1.32,Very Good,F,VS1,60.3,57.0,7.08,7.12,4.28,10575
47428,0.54,Ideal,G,VVS2,60.8,56.0,5.28,5.31,3.22,1852
29390,0.31,Very Good,E,SI1,63.5,57.0,4.32,4.28,2.73,698
51832,0.58,Ideal,D,VVS2,63.0,56.0,5.35,5.28,3.35,2421
40973,0.4,Ideal,E,VS1,59.2,62.0,4.8,4.83,2.85,1180
20964,1.01,Very Good,F,VVS1,63.2,56.0,6.39,6.33,4.02,9176
22424,1.19,Ideal,F,VS1,60.5,57.0,6.82,6.88,4.15,10449
11681,1.11,Ideal,G,SI1,62.6,57.0,6.64,6.59,4.14,5061
2761,0.9,Very Good,I,SI1,63.3,59.0,6.14,6.05,3.86,3251
1883,0.77,Ideal,H,VS1,61.4,55.0,5.89,5.93,3.63,3074
7913,0.9,Very Good,E,SI1,62.6,61.0,6.06,6.11,3.81,4315
30411,0.32,Premium,G,VVS2,61.7,59.0,4.37,4.41,2.71,730
50893,0.71,Premium,F,SI1,61.1,62.0,5.76,5.72,3.51,2317
51814,0.76,Very Good,H,SI2,59.8,58.0,5.94,5.96,3.56,2418
17108,1.0,Good,E,VS1,60.6,63.0,6.28,6.42,3.85,6822
11092,1.03,Ideal,G,SI2,62.3,59.0,6.44,6.46,4.02,4928
8552,1.01,Ideal,E,SI2,62.8,57.0,6.38,6.35,4.0,4434
43467,0.47,Very Good,F,VVS2,60.9,59.0,4.99,5.03,3.05,1418
43519,0.59,Ideal,F,SI1,62.3,54.0,5.37,5.41,3.36,1424
51325,0.31,Good,E,SI1,63.3,55.0,4.31,4.35,2.74,544
50478,0.52,Ideal,G,IF,61.7,56.0,5.15,5.19,3.19,2267
29478,0.4,Premium,G,SI1,61.4,60.0,4.67,4.71,2.88,702
30914,0.34,Ideal,E,VS2,62.4,55.0,4.48,4.53,2.81,745
11151,1.01,Ideal,H,SI1,61.2,58.0,6.42,6.49,3.95,4943
4135,0.81,Very Good,G,VS1,62.6,55.0,5.92,5.97,3.72,3544
50466,0.72,Ideal,I,VS1,62.3,55.0,5.79,5.69,3.58,2265
83,0.38,Ideal,I,SI2,61.6,56.0,4.65,4.67,2.87,554
32347,0.3,Very Good,E,VVS2,61.9,59.0,4.27,4.32,2.66,789
24481,1.5,Good,E,SI1,64.2,55.0,7.17,7.22,4.62,12754
50935,0.57,Ideal,E,VS2,61.0,54.0,5.43,5.39,3.3,2319
19924,1.01,Premium,F,VVS2,61.8,59.0,6.46,6.42,3.98,8470
2150,0.7,Very Good,G,VS1,61.6,57.0,5.69,5.73,3.52,3127
11958,1.21,Very Good,J,VS2,62.2,59.0,6.79,6.84,4.24,5136
10245,1.01,Good,H,SI1,63.4,59.0,6.28,6.34,4.0,4749
48982,0.24,Very Good,F,VVS2,61.4,57.0,4.03,4.06,2.48,538
16992,1.01,Very Good,E,VS2,63.5,58.0,6.36,6.34,4.03,6787
32429,0.33,Ideal,E,VS2,61.7,55.0,4.45,4.47,2.75,792
45979,0.3,Premium,E,SI1,61.3,60.0,4.27,4.31,2.63,526
24460,1.7,Good,H,VS2,62.5,59.0,7.48,7.58,4.71,12723
11809,1.01,Premium,G,SI1,60.8,60.0,6.47,6.39,3.91,5090
6464,1.0,Good,F,SI2,61.8,58.0,6.43,6.48,3.99,4053
33041,0.32,Ideal,G,VVS1,61.2,56.0,4.42,4.44,2.71,814
41226,0.43,Ideal,D,VS1,62.1,56.0,4.85,4.87,3.02,1207
28900,0.3,Very Good,H,VVS1,62.2,58.0,4.26,4.29,2.66,684
28944,0.3,Good,H,VVS1,63.4,57.0,4.27,4.31,2.72,684
4454,0.88,Ideal,F,SI2,62.2,56.0,6.11,6.17,3.82,3619
8291,1.03,Ideal,H,SI2,61.1,57.0,6.55,6.52,3.99,4384
13507,1.01,Premium,D,SI1,61.8,60.0,6.37,6.35,3.93,5543
900,0.73,Premium,E,VS1,62.6,60.0,5.68,5.75,3.58,2876
52849,0.7,Premium,E,SI1,61.0,56.0,5.75,5.69,3.49,2576
18073,1.33,Premium,H,SI1,61.9,58.0,7.04,6.98,4.34,7302
53105,0.57,Ideal,E,VVS2,61.9,54.3,5.31,5.33,3.29,2615
34323,0.32,Ideal,E,VVS1,60.7,55.0,4.42,4.45,2.69,860
47854,0.51,Ideal,E,VS2,60.1,57.0,5.23,5.19,3.13,1909
43595,0.3,Ideal,G,VS2,61.8,56.0,4.29,4.32,2.66,507
21386,0.34,Very Good,I,VVS1,61.9,58.0,4.43,4.52,2.77,626
22320,1.57,Ideal,E,SI2,61.4,56.0,7.44,7.52,4.59,10362
52943,0.7,Very Good,F,VS2,63.3,56.0,5.62,5.66,3.57,2593
17206,1.24,Premium,F,SI1,61.6,59.0,6.86,6.9,4.24,6874
7378,0.97,Very Good,F,SI2,62.9,57.0,6.28,6.31,3.96,4223
8706,0.28,Ideal,G,VVS2,61.6,56.0,4.18,4.2,2.58,586
33505,0.32,Premium,G,VS1,62.5,60.0,4.35,4.29,2.7,828
14102,1.0,Very Good,E,VS2,62.8,63.0,6.28,6.33,3.96,5720
17202,1.2,Very Good,F,SI1,63.5,57.0,6.65,6.74,4.25,6872
17148,1.1,Ideal,H,SI1,61.5,56.0,6.61,6.65,4.08,6844
31805,0.3,Very Good,G,IF,61.4,58.0,4.27,4.33,2.64,774
3820,0.73,Ideal,E,VS2,61.7,57.0,5.75,5.78,3.55,3470
13862,1.15,Good,H,VS2,63.1,56.0,6.62,6.7,4.2,5646
50312,0.7,Premium,F,SI1,61.2,59.0,5.7,5.64,3.47,2239
41451,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1229
32077,0.33,Ideal,D,VS2,62.1,54.0,4.43,4.46,2.76,781
16778,1.02,Premium,G,VS1,62.0,56.0,6.5,6.43,4.01,6683
15434,1.21,Ideal,H,SI1,61.1,57.0,6.91,6.83,4.2,6180
14553,1.25,Ideal,H,SI2,62.8,55.0,6.87,6.82,4.3,5880
38807,0.31,Premium,G,VVS1,61.2,59.0,4.34,4.32,2.65,1046
7314,1.02,Premium,H,SI2,60.9,59.0,6.46,6.51,3.95,4207
8801,1.0,Good,E,SI1,63.8,55.0,6.34,6.31,4.03,4474
46836,0.79,Very Good,G,SI2,63.4,60.0,5.83,5.77,3.68,1809
48126,0.54,Ideal,E,VS1,61.0,56.0,5.24,5.35,3.23,1939
17731,1.01,Good,G,VVS2,63.2,59.0,6.27,6.35,3.99,7137
44566,0.52,Very Good,D,SI1,63.3,58.0,5.15,5.12,3.25,1605
19117,1.01,Very Good,G,VVS2,63.3,57.0,6.31,6.36,4.01,7885
16260,1.08,Good,H,VVS1,63.1,57.0,6.52,6.57,4.13,6504
47864,0.52,Ideal,G,VVS2,61.7,55.0,5.19,5.22,3.21,1911
2396,0.32,Premium,G,VS2,61.2,59.0,4.38,4.41,2.69,561
44311,0.3,Premium,D,SI1,62.5,59.0,4.26,4.22,2.65,520
40437,0.36,Ideal,F,IF,61.4,55.9,4.58,4.62,2.82,1138
41094,0.51,Good,D,SI1,63.4,59.0,5.07,5.02,3.2,1193
37069,0.55,Good,J,VS1,63.8,61.0,5.09,5.12,3.26,969
7660,1.01,Premium,G,SI2,60.1,60.0,6.48,6.44,3.88,4270
15599,1.01,Very Good,F,VS2,59.2,59.0,6.49,6.61,3.88,6257
10530,1.01,Premium,G,SI1,62.1,56.0,6.42,6.36,3.97,4805
3090,0.93,Premium,F,SI2,61.3,62.0,6.26,6.17,3.81,3317
50863,0.82,Very Good,J,SI1,62.9,57.0,5.88,5.94,3.72,2313
9726,1.14,Premium,H,SI1,63.0,57.0,6.7,6.65,4.2,4654
7109,1.11,Very Good,I,SI2,62.6,55.0,6.65,6.71,4.18,4168
39745,0.53,Ideal,G,SI2,62.4,56.0,5.18,5.14,3.22,1093
12557,1.06,Ideal,H,VS2,61.2,55.0,6.57,6.61,4.03,5277
30454,0.3,Ideal,F,VS1,62.6,57.0,4.34,4.29,2.7,731
29407,0.31,Ideal,F,VVS2,61.7,55.0,4.33,4.36,2.68,700
7119,1.01,Good,I,SI1,61.7,58.0,6.33,6.4,3.93,4171
18873,1.11,Ideal,F,VS2,61.6,57.0,6.65,6.67,4.1,7740
46496,0.5,Very Good,F,VVS2,60.4,61.0,5.12,5.14,3.1,1778
46454,0.52,Ideal,D,VS2,62.1,57.0,5.13,5.17,3.2,1774
6520,0.91,Very Good,H,VS1,62.7,63.0,6.1,6.03,3.8,4066
47679,0.51,Ideal,D,VS2,62.3,57.0,5.12,5.09,3.18,1882
22423,1.57,Very Good,H,SI1,59.6,58.0,7.61,7.65,4.55,10447
28821,0.41,Very Good,H,SI1,62.6,59.0,4.72,4.77,2.97,683
5549,1.02,Good,I,SI2,63.6,56.0,6.4,6.37,4.06,3856
37768,0.41,Ideal,E,VS2,62.1,57.0,4.79,4.74,2.96,999
52596,0.53,Very Good,D,VVS2,60.5,57.0,5.23,5.31,3.19,2542
42041,0.53,Ideal,H,SI1,61.3,55.0,5.23,5.27,3.22,1268
47824,0.53,Premium,D,VS2,60.2,58.0,5.26,5.23,3.16,1904
7644,0.9,Good,F,VS2,64.5,60.0,6.03,6.07,3.9,4268
4940,1.01,Premium,H,SI2,59.6,60.0,6.55,6.5,3.89,3732
35156,0.31,Very Good,G,IF,61.6,54.0,4.4,4.43,2.72,891
3099,0.52,Ideal,D,VVS1,60.9,56.0,5.2,5.24,3.18,3321
12729,1.03,Very Good,D,SI1,60.5,61.0,6.43,6.47,3.9,5313
29394,0.31,Good,E,SI1,63.6,57.0,4.3,4.28,2.73,698
41117,0.4,Ideal,F,VVS2,61.6,56.0,4.73,4.77,2.93,1196
35689,0.46,Ideal,I,VS1,62.3,56.0,4.93,4.96,3.08,911
36610,0.32,Ideal,D,SI2,61.7,55.0,4.38,4.4,2.71,477
44864,0.51,Very Good,H,VS1,62.3,57.0,5.1,5.12,3.18,1628
52983,0.72,Ideal,I,VVS2,61.5,58.0,5.78,5.79,3.56,2594
25359,0.31,Very Good,G,VVS1,61.9,55.0,4.36,4.4,2.71,642
41728,0.41,Ideal,E,VVS2,62.2,54.0,4.79,4.76,2.97,1243
21719,0.32,Ideal,H,VVS2,61.6,55.0,4.43,4.46,2.74,628
49562,0.7,Very Good,F,SI2,62.9,56.0,5.68,5.71,3.58,2131
18819,1.54,Premium,G,SI2,59.4,60.0,7.49,7.52,4.46,7707
23106,1.24,Very Good,F,VVS2,62.0,55.0,6.88,6.95,4.29,11130
39633,0.34,Ideal,G,IF,61.7,55.0,4.5,4.48,2.77,1084
1748,0.73,Ideal,G,VS1,61.8,57.0,5.78,5.81,3.58,3041
10771,1.01,Very Good,H,SI1,61.8,60.0,6.38,6.44,3.96,4855
22360,0.31,Premium,H,VS2,62.2,59.0,4.38,4.34,2.71,628
31488,0.34,Ideal,G,VS2,61.4,57.0,4.51,4.48,2.76,765
44922,0.74,Very Good,E,SI2,63.3,59.0,5.82,5.78,3.67,1632
18053,0.3,Ideal,I,IF,62.0,57.0,4.28,4.3,2.66,615
51304,0.31,Premium,I,VVS2,61.7,58.0,4.38,4.4,2.71,544
19205,1.51,Very Good,J,VS1,63.7,55.0,7.16,7.28,4.6,7953
13614,1.0,Very Good,E,SI1,62.4,59.0,6.36,6.42,3.99,5571
44741,0.62,Ideal,H,SI1,61.4,56.0,5.51,5.49,3.38,1618
39236,0.33,Ideal,F,VVS2,62.4,56.0,4.43,4.41,2.76,1067
42001,0.51,Very Good,F,SI1,62.0,54.0,5.15,5.18,3.2,1265
24712,0.3,Very Good,E,VS2,61.5,58.0,4.28,4.31,2.64,640
3285,0.91,Ideal,H,SI2,60.3,57.0,6.31,6.27,3.79,3363
8790,0.98,Ideal,G,SI2,61.7,56.0,6.36,6.4,3.93,4470
21974,1.76,Premium,I,SI2,62.0,58.0,7.76,7.72,4.8,10043
41049,0.66,Premium,J,SI1,61.0,61.0,5.64,5.59,3.43,1188
39647,0.47,Very Good,F,SI1,63.3,60.0,4.98,4.94,3.14,1086
19753,1.06,Premium,G,VVS1,61.1,58.0,6.57,6.53,4.0,8319
52728,0.7,Very Good,H,VVS2,62.6,57.0,5.63,5.65,3.53,2558
9033,0.36,Ideal,H,VS2,61.0,57.0,4.59,4.63,2.81,587
1138,0.71,Very Good,D,SI1,60.1,60.0,5.76,5.79,3.47,2921
4589,1.01,Good,J,VS2,62.8,58.0,6.3,6.35,3.97,3655
35059,0.4,Premium,D,SI1,60.9,60.0,4.78,4.74,2.9,884
32488,0.32,Ideal,G,VVS1,62.3,56.0,4.38,4.41,2.73,796
37014,0.33,Ideal,G,VVS2,61.5,56.0,4.49,4.45,2.75,965
31248,0.4,Ideal,I,VVS2,62.0,54.0,4.74,4.77,2.95,758
39777,0.36,Ideal,D,VS2,61.5,57.0,4.58,4.56,2.81,1094
39078,0.41,Premium,E,SI1,62.3,56.0,4.78,4.76,2.97,1059
112,0.9,Premium,I,VS2,63.0,58.0,6.16,6.12,3.87,2761
4661,0.91,Premium,H,SI1,62.2,60.0,6.22,6.16,3.85,3669
43489,0.58,Ideal,H,SI1,60.2,57.0,5.47,5.43,3.28,1421
289,0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52,2797
38565,0.35,Ideal,F,IF,60.9,56.0,4.54,4.56,2.77,1035
39948,0.28,Good,E,VVS1,64.6,55.0,4.15,4.18,2.69,492
7808,0.85,Very Good,F,VS1,62.0,55.0,6.08,6.14,3.78,4293
19004,1.08,Premium,D,VS2,61.2,60.0,6.63,6.61,4.05,7824
45324,0.32,Good,E,SI1,63.1,54.0,4.37,4.41,2.77,524
39542,0.4,Premium,F,VS2,62.6,58.0,4.72,4.68,2.94,1080
50200,0.9,Good,G,I1,63.6,61.0,6.03,6.07,3.85,2226
30932,0.24,Very Good,H,VVS2,61.3,57.0,4.01,4.04,2.46,449
14293,1.34,Very Good,J,SI2,62.3,61.0,6.97,7.05,4.37,5787
43006,0.52,Very Good,E,SI1,62.8,57.0,5.09,5.13,3.21,1369
42349,0.39,Premium,G,IF,59.0,60.0,4.75,4.78,2.81,1300
7393,0.33,Premium,H,VS1,61.5,58.0,4.39,4.46,2.72,579
10147,1.25,Good,I,SI2,63.9,56.0,6.81,6.77,4.34,4725
33130,0.31,Very Good,E,VVS2,60.8,55.0,4.38,4.43,2.68,816
8398,0.34,Premium,D,SI1,62.0,58.0,4.43,4.47,2.76,584
49991,0.57,Ideal,E,VS1,61.8,55.0,5.34,5.39,3.32,2192
24883,1.01,Very Good,D,VVS1,62.8,57.0,6.36,6.41,4.01,13312
44822,0.52,Ideal,F,VS2,61.3,57.0,5.22,5.19,3.19,1624
32814,0.34,Ideal,E,VS1,62.0,56.0,4.48,4.52,2.79,805
27114,1.8,Very Good,E,SI1,62.2,57.0,7.81,7.89,4.88,17273
47044,0.5,Premium,D,VS2,59.7,57.0,5.13,5.08,3.05,1819
3027,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3309
14511,1.14,Ideal,H,SI1,60.4,57.0,6.78,6.83,4.11,5861
38598,0.5,Ideal,G,SI2,60.0,57.0,5.17,5.2,3.11,1038
53030,0.72,Ideal,I,VVS2,61.6,57.0,5.73,5.76,3.54,2602
5968,1.14,Premium,D,I1,61.8,59.0,6.62,6.74,4.13,3950
35880,0.32,Ideal,G,IF,62.1,53.0,4.41,4.44,2.75,918
38544,0.34,Ideal,D,VS2,62.5,57.0,4.47,4.4,2.77,1033
43691,0.5,Good,F,VS2,63.2,58.0,5.0,5.03,3.17,1436
2145,0.93,Premium,J,VS2,61.1,59.0,6.34,6.32,3.87,3125
52318,0.33,Premium,F,SI1,60.9,59.0,4.42,4.45,2.7,550
12848,0.9,Good,E,VS1,59.3,56.0,6.27,6.32,3.73,5356
48612,0.51,Ideal,F,VVS2,61.9,56.0,5.13,5.15,3.18,1998
41680,0.54,Ideal,H,SI1,62.2,56.0,5.26,5.19,3.25,1240
28870,0.32,Premium,F,SI1,59.3,58.0,4.5,4.47,2.66,684
23918,1.54,Premium,G,SI1,61.0,59.0,7.38,7.43,4.52,12044
24796,1.62,Premium,F,SI1,62.6,58.0,7.48,7.53,4.7,13177
21131,1.22,Premium,E,VS2,62.2,55.0,6.91,6.85,4.28,9292
51649,0.26,Very Good,G,VVS1,61.8,57.0,4.06,4.1,2.52,545
420,0.7,Very Good,F,VS2,62.3,58.0,5.64,5.72,3.54,2812
45545,0.51,Premium,D,SI1,61.0,60.0,5.18,5.15,3.15,1687
14286,1.06,Very Good,H,VS2,62.5,57.0,6.47,6.49,4.05,5783
13019,1.11,Ideal,G,SI1,61.9,57.0,6.63,6.66,4.11,5408
32455,0.4,Premium,H,VS1,62.7,58.5,4.7,4.74,2.96,793
16925,1.69,Ideal,H,I1,62.0,56.0,7.66,7.61,4.73,6757
45564,0.52,Ideal,G,VS1,62.3,55.0,5.14,5.16,3.21,1689
50231,0.7,Ideal,I,VS2,62.5,56.0,5.66,5.7,3.55,2232
51154,0.63,Premium,E,VS2,62.4,59.0,5.5,5.46,3.42,2344
1441,0.7,Premium,F,VVS2,62.2,58.0,5.72,5.66,3.54,2975
13379,0.32,Ideal,H,SI2,61.9,54.0,4.42,4.46,2.75,420
28582,0.3,Ideal,G,VS2,61.7,56.0,4.35,4.31,2.67,675
40672,0.44,Ideal,E,VS1,61.5,56.0,4.92,4.9,3.02,1155
9223,1.03,Premium,G,SI2,60.6,60.0,6.53,6.5,3.95,4557
52935,0.7,Good,G,VS1,60.6,61.0,5.71,5.77,3.48,2591
35416,0.4,Very Good,G,SI1,60.0,63.0,4.8,4.76,2.87,900
1212,0.73,Very Good,F,VS2,62.7,58.0,5.73,5.75,3.6,2939
33859,0.3,Ideal,E,VS2,61.0,56.0,4.36,4.33,2.65,844
20170,1.02,Very Good,G,IF,62.3,59.0,6.36,6.45,3.99,8624
37539,0.39,Ideal,F,VVS2,61.7,56.0,4.7,4.73,2.91,988
2206,0.9,Premium,J,SI1,60.4,59.0,6.27,6.24,3.78,3141
31175,0.35,Ideal,H,VVS1,62.0,55.0,4.52,4.54,2.81,756
34675,0.41,Good,D,VS2,63.4,54.0,4.74,4.79,3.02,873
13058,1.01,Very Good,E,SI1,62.8,57.0,6.35,6.39,4.0,5411
